# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,Standard deviation,City,State
"UTM:(17S 0485 3759 1000)",2.7,1,43,33.9759,-81.1570,0,0.330,"UTM:(17S 0485 3759 1000)",""
"UTM:(17S 0512 3779 1000)",2.0,1,13,34.1564,-80.8644,0,0.330,"UTM:(17S 0512 3779 1000)",""
"UTM:(17S 0514 3758 1000)",2.0,1,23,33.9669,-80.8431,0,0.330,"UTM:(17S 0514 3758 1000)",""
"UTM:(17S 0516 3779 1000)",2.2,1,10,34.1563,-80.8210,0,0.330,"UTM:(17S 0516 3779 1000)",""
"UTM:(17S 0519 3777 1000)",2.2,1,8,34.1382,-80.7885,0,0.330,"UTM:(17S 0519 3777 1000)",""
"UTM:(17S 0522 3778 1000)",2.7,1,7,34.1472,-80.7559,0,0.330,"UTM:(17S 0522 3778 1000)",""
"UTM:(17S 0522 3779 1000)",2.2,1,7,34.1562,-80.7559,0,0.330,"UTM:(17S 0522 3779 1000)",""
"UTM:(17S 0523 3778 1000)",3.8,1,6,34.1471,-80.7450,0,0.330,"UTM:(17S 0523 3778 1000)",""
"UTM:(17S 0523 3779 1000)",2.2,2,6,34.1562,-80.7450,0,0.320,"UTM:(17S 0523 3779 1000)",""
"UTM:(17S 0523 3780 1000)",2.7,1,7,34.1652,-80.7450,0,0.330,"UTM:(17S 0523 3780 1000)",""
"UTM:(17S 0525 3776 1000)",2.2,1,7,34.1291,-80.7234,0,0.330,"UTM:(17S 0525 3776 1000)",""
"UTM:(17S 0525 3780 1000)",3.1,1,7,34.1651,-80.7234,0,0.330,"UTM:(17S 0525 3780 1000)",""
"UTM:(17S 0526 3774 1000)",2.2,1,8,34.1110,-80.7126,0,0.330,"UTM:(17S 0526 3774 1000)",""

