ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
27021,2.2,1,243,36.3203,-80.3418,King,NC
29016,2.7,1,25,34.2008,-80.9951,Blythewood,SC
29020,2.9,2,21,34.307,-80.5942,Camden,SC
29045,2.9,25,9,34.1874,-80.8158,Elgin,SC
29073,2.0,1,55,33.8923,-81.2371,Lexington,SC
29078,3.3,20,6,34.1906,-80.7041,Lugoff,SC
29201,3.6,2,33,33.9856,-81.0289,Columbia,SC
29203,3.1,1,29,34.1047,-81.0455,Columbia,SC
29223,2.7,2,15,34.056,-80.844,Columbia,SC
29229,2.5,3,15,34.1419,-80.8922,Columbia,SC
29445,3.1,1,145,32.9968,-79.9879,Goose Creek,SC
29576,2.0,1,168,33.5667,-79.0505,Murrells Inlet,SC
29653,2.2,1,139,34.301,-82.2295,Hodges,SC
48334,2.7,1,955,42.5063,-83.3502,Farmington,MI
