ZIP/Location,CDI,Response_Count,Hypocentral_Distance,Latitude,Longitude,City,State
19808,2.2,1,761,39.7379,-75.6654,Wilmington,DE
29009,2.2,1,40,34.4368,-80.3788,Bethune,SC
29016,2.7,1,27,34.2008,-80.9951,Blythewood,SC
29020,2.0,2,16,34.307,-80.5942,Camden,SC
29045,2.2,12,10,34.1874,-80.8158,Elgin,SC
29073,2.2,1,59,33.8923,-81.2371,Lexington,SC
29078,2.8,6,2,34.1906,-80.7041,Lugoff,SC
29206,2.2,1,29,34.0238,-80.9541,Columbia,SC
29223,2.7,2,20,34.056,-80.844,Columbia,SC
29229,3.1,1,18,34.1419,-80.8922,Columbia,SC
29845,2.7,1,145,33.8272,-82.2099,Plum Branch,SC
